Title,Author,Genre,Subject,Summary
Warriors: The Prophecies Begin #1 (Graphic Novel),"Erin Hunter (adapted by Natalie Riess, illustrated by Sara Goetter)",Children's Graphic Novel,"Cats, Clans, Adventure","The graphic novel adaptation of the first Warriors arc, in which a housecat leaves home to join ThunderClan. Volume one."
Watch Me Throw the Ball!,Mo Willems,Children's Early Reader (Elephant & Piggie series),"Play, Perspective, Fun vs. Winning","Gerald wants to teach Piggie the serious art of throwing a ball, but Piggie insists that doing it badly is far more fun."
Watercolor with Me in the Forest,Dana Fox,Art Instruction,"Watercolor, Woodland Animals",Step-by-step watercolor tutorials for painting forest animals and woodland scenes.
Watercolor with Me in the Ocean,Dana Fox,Art Instruction,"Watercolor, Marine Life",Step-by-step watercolor tutorials for painting sea creatures and ocean scenes.
Watership Down,Richard Adams (illustrated by Aldo Galli),Illustrated Fiction,"Rabbits, Journey, Survival","A group of rabbits flees a doomed warren and crosses the English downs to found a new home. This is the Scribner Illustrated Classic edition, separate from the graphic novel adaptation also on hand."
Watership Down: The Graphic Novel,"Richard Adams (adapted by James Sturm, illustrated by Joe Sutphin)",Graphic Novel,"Rabbits, Survival, Journey",The graphic adaptation of Adams's epic: a band of rabbits flees a doomed warren and crosses hostile country to found a new home on Watership Down.
We Are Family,Patricia Hegarty (illustrated by Ryan Wheatcroft),Children's Picture Book,"Families, Diversity","A look at many different kinds of families around the world — big, small, blended, adoptive, single-parent — showing that love is what makes a family."
We Are Grateful: Otsaliheliga,Traci Sorell (illustrated by Frané Lessac),Children's Picture Book,"Cherokee Culture, Gratitude, Seasons","A Cherokee family moves through a year of seasons and ceremonies, saying otsaliheliga — we are grateful — for blessings and hardships alike."
We Are in a Book!,Mo Willems,Children's Early Reader (Elephant & Piggie series),"Metafiction, Reading, Humor","Gerald and Piggie realize they are being read, delight in making the reader say 'banana,' and worry about what happens when the book ends."
We Are the United States,Margeaux Weston & Sarosh Arif (illustrated by Sol Linero),Children's Nonfiction / Atlas,"US Culture, Diversity","A follow-up to The 50 States with 51 infographic maps celebrating the heritages, religions, jobs and traditions of the people who live across America."
We Became Wild,H.D. Carver,Young Adult Fiction,"Pacific Crest Trail, Grief, Friendship","Two teenagers set out onto the Pacific Crest Trail carrying their dead best friend's ashes and her copy of Wild, with more secrets between them than either admits."
We Found a Hat,Jon Klassen,Children's Picture Book,"Humor, Friendship, Turtles","Two turtles find one hat, which looks good on both of them, and have to decide what to do about that. Third and final book of the Hat trilogy."
We Who Will Die,Stacia Stark,Fantasy / Romance,"Vampires, Gladiators, Roman-Inspired","Arvelle vows to kill the vampire emperor and must first survive the Sundering, an arena tournament. First of Empire of Blood."
We're Going on a Bear Hunt,Michael Rosen (illustrated by Helen Oxenbury),Children's Picture Book,"Rhythm, Family, Adventure","The much-chanted family expedition through grass, river, mud and forest — and the very fast retreat once the bear is found."
Welcome to the Farm,Shaye Elliott,Reference,"Homesteading, Food Preservation, Rural Skills","A homesteading primer covering gardening, dairying, butchering, preserving, and the rhythm of a small farm year."
Weslandia,Paul Fleischman (illustrated by Kevin Hawkes),Children's Picture Book,"Individuality, Creativity, Civilization","Misfit Wesley spends his summer growing a mysterious crop and founding his own civilization in the backyard — complete with language, clothing, food and games — and wins over his classmates."
What a Wonderful Word,Nicola Edwards (illustrated by Luisa Uribe),Children's Nonfiction,"Language, Untranslatable Words, Cultures","A collection of untranslatable words from languages around the world, each illustrated and explained for young readers."
What Animals Say to Each Other: 30 Nature Fables in Rhyme,Jakob Streit,Children's Poetry / Waldorf,"Animals, Nature, Fables","Thirty short rhymed fables in which animals speak to one another, written for young children in the Waldorf nature-story tradition."
What Do You Celebrate?,Whitney Stewart (illustrated by Christiane Engel),Children's Nonfiction Picture Book,"World Holidays, Cultures","Fourteen holidays celebrated around the world, each with its history, traditions, and a related craft, recipe or activity."
"What Is the World Made Of? All About Solids, Liquids, and Gases",Kathleen Weidner Zoehfeld (illustrated by Paul Meisel),Early Reader Nonfiction,"States of Matter, Physics","A Let's-Read-and-Find-Out introduction to solids, liquids and gases and how matter changes between them."
What It's Like to Be a Bird,David Allen Sibley,Reference,"Birds, Ornithology, Behavior","Sibley's illustrated answers to how birds actually live — how they fly, sing, sleep, migrate and see the world."
"What the Heart Knows: Chants, Charms & Blessings",Joyce Sidman (illustrated by Pamela Zagarenski),Children's Poetry,"Poetry, Emotions, Blessings","Poems in the form of charms, spells, blessings and laments, written to be spoken aloud when a heart needs mending or courage."
What We See in the Stars,Kelsey Oseid,Illustrated Nonfiction,"Astronomy, Constellations, Mythology",An illustrated tour of the night sky combining astronomy with the stories humans have told about it.
What's on Your Plate?,Whitney Stewart (illustrated by Christiane Engel),Children's Nonfiction Picture Book,"World Food, Cultures","A tour of everyday meals in fourteen countries, with recipes, food customs and notes on how families eat around the world."
What's the Point of Math?,DK,Children's Nonfiction,"Mathematics, Applications","An illustrated look at why math matters, tracing everyday and historical uses of numbers, geometry, probability and codes."
When Green Becomes Tomatoes: Poems for All Seasons,Julie Fogliano (illustrated by Julie Morstad),Children's Poetry,"Seasons, Nature, Poetry","Dated poems marking a year of small seasonal noticings, from first snow to the green turning red on the vine."
When on Earth?,DK,Children's Reference,"World History, Historical Maps","A world-history atlas mapping events from prehistory to the present, showing where and when civilizations, migrations, wars and inventions happened."
When We Were Very Young,A.A. Milne,Children's Poetry,"Childhood, Verse, Classic","Milne's first book of children's verses, including Buckingham Palace and Halfway Down. Vintage Dutton edition."
When You Are Brave,Pat Zietlow Miller (illustrated by Eliza Wheeler),Children's Picture Book,"Courage, Moving, Emotions",A girl facing a move to a new place learns to find the warm light of courage inside herself when everything around her feels frightening.
Where the Crawdads Sing,Delia Owens,Literary Fiction,"Marshland, Isolation, Mystery",Kya grows up alone in the North Carolina marsh and becomes a suspect when a local man turns up dead. A courtroom mystery braided with nature writing.
Where the Mountain Meets the Moon,Grace Lin,Children's Chapter Book / Fantasy,"Chinese Folklore, Quest, Fortune","Minli leaves her poor village to ask the Old Man of the Moon how to change her family's fortune, gathering folktales along the way. A Newbery Honor book."
Where's Waldo? The Totally Essential Travel Collection,Martin Handford,Children's Search-and-Find,"Search and Find, Travel",All seven classic Where's Waldo books bound into one travel-sized volume with an elastic closure.
Whisper from the Woods,Victoria Wirth (illustrated by A. Scott Banfield),Children's Picture Book,"Trees, Forests, Life Cycles","A quiet meditation on the life of a forest, told from the perspective of the trees as generations grow, fall and return to the soil."
Whistling Whales: Beyond the Sounds of ABC,Denise Eide,Children's Picture Book / Phonics,"Phonograms, Multi-letter Sounds",A follow-up to Doodling Dragons covering multi-letter phonograms — the sounds that go beyond the single-letter alphabet.
Wild Dark Shore,Charlotte McConaghy,Literary Fiction,"Islands, Climate, Family","A family keeping a remote sub-Antarctic seed vault takes in a woman who washes ashore, and the island's secrets begin to surface. Literary suspense from the author of Migrations."
Wild Magic,Danu Forest,Nonfiction / Folklore,"Celtic Tradition, Nature Magic, Seasons","A practical guide to Celtic nature traditions organized around the land, the seasons, and the natural world."
Wild Things: The Art of Nurturing Boys,Stephen James & David Thomas,Nonfiction / Parenting,"Boys, Child Development, Parenting","A stage-by-stage guide to raising boys, from explorer to individual, written by two counselors."
Wilder Girls,Rory Power,Young Adult Horror,"Quarantine, Island, Body Horror",A girls' boarding school on a Maine island has been under quarantine for eighteen months while a disease reshapes the students' bodies. Feminist body horror.
Wings of Fire #10: Darkness of Dragons,Tui T. Sutherland,Children's Chapter Book / Fantasy,"Dragons, Animus Magic, Sacrifice",Qibli faces Darkstalker with nothing but his own cleverness. Concludes the second arc.
Wings of Fire #11: The Lost Continent,Tui T. Sutherland,Children's Chapter Book / Fantasy,"Dragons, Pantala, New Tribes","Blue, a SilkWing, discovers his continent's tribes and their history are nothing like he was taught. Opens the third arc."
Wings of Fire #12: The Hive Queen,Tui T. Sutherland,Children's Chapter Book / Fantasy,"Dragons, HiveWings, Rebellion",Cricket questions everything about Queen Wasp and the hives she grew up in.
Wings of Fire #13: The Poison Jungle,Tui T. Sutherland,Children's Chapter Book / Fantasy,"Dragons, LeafWings, Plants",Sundew and the surviving LeafWings prepare to strike back at the HiveWings from the poison jungle.
Wings of Fire #14: The Dangerous Gift,Tui T. Sutherland,Children's Chapter Book / Fantasy,"Dragons, Leadership, Alliance","Snowfall, a new and reluctant IceWing queen, has to decide whether to help the continent or wall it out."
